freq,imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.2 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.4 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.6 )),imag(leafValue( i("PORT0:p" ?result "sweepVG_ac1-sweep") "VG_VAL" 0.8 ))
145.1E3,-28.60E-15,-29.96E-15,-36.34E-15,-38.05E-15
146.1E3,-28.80E-15,-30.17E-15,-36.59E-15,-38.31E-15
147.1E3,-29.00E-15,-30.37E-15,-36.84E-15,-38.57E-15
148.1E3,-29.20E-15,-30.58E-15,-37.09E-15,-38.83E-15
149.1E3,-29.39E-15,-30.79E-15,-37.34E-15,-39.10E-15
150.1E3,-29.59E-15,-30.99E-15,-37.59E-15,-39.36E-15
151.1E3,-29.79E-15,-31.20E-15,-37.84E-15,-39.62E-15
152.1E3,-29.98E-15,-31.41E-15,-38.09E-15,-39.88E-15
153.1E3,-30.18E-15,-31.61E-15,-38.34E-15,-40.15E-15
154.1E3,-30.38E-15,-31.82E-15,-38.59E-15,-40.41E-15
155.1E3,-30.58E-15,-32.03E-15,-38.84E-15,-40.67E-15
156.1E3,-30.77E-15,-32.23E-15,-39.09E-15,-40.93E-15
157.1E3,-30.97E-15,-32.44E-15,-39.34E-15,-41.19E-15
158.1E3,-31.17E-15,-32.65E-15,-39.59E-15,-41.46E-15
159.1E3,-31.36E-15,-32.85E-15,-39.84E-15,-41.72E-15
160.1E3,-31.56E-15,-33.06E-15,-40.09E-15,-41.98E-15
161.1E3,-31.76E-15,-33.27E-15,-40.34E-15,-42.24E-15
162.1E3,-31.96E-15,-33.47E-15,-40.59E-15,-42.51E-15
163.1E3,-32.15E-15,-33.68E-15,-40.84E-15,-42.77E-15
164.1E3,-32.35E-15,-33.88E-15,-41.10E-15,-43.03E-15
165.1E3,-32.55E-15,-34.09E-15,-41.35E-15,-43.29E-15
166.1E3,-32.74E-15,-34.30E-15,-41.60E-15,-43.55E-15
167.1E3,-32.94E-15,-34.50E-15,-41.85E-15,-43.82E-15
168.1E3,-33.14E-15,-34.71E-15,-42.10E-15,-44.08E-15
169.1E3,-33.34E-15,-34.92E-15,-42.35E-15,-44.34E-15
170.1E3,-33.53E-15,-35.12E-15,-42.60E-15,-44.60E-15
171.1E3,-33.73E-15,-35.33E-15,-42.85E-15,-44.87E-15
172.1E3,-33.93E-15,-35.54E-15,-43.10E-15,-45.13E-15
173.1E3,-34.12E-15,-35.74E-15,-43.35E-15,-45.39E-15
174.1E3,-34.32E-15,-35.95E-15,-43.60E-15,-45.65E-15
175.1E3,-34.52E-15,-36.16E-15,-43.85E-15,-45.91E-15
176.1E3,-34.72E-15,-36.36E-15,-44.10E-15,-46.18E-15
177.1E3,-34.91E-15,-36.57E-15,-44.35E-15,-46.44E-15
178.1E3,-35.11E-15,-36.78E-15,-44.60E-15,-46.70E-15
179.1E3,-35.31E-15,-36.98E-15,-44.85E-15,-46.96E-15
180.1E3,-35.50E-15,-37.19E-15,-45.10E-15,-47.23E-15
181.1E3,-35.70E-15,-37.40E-15,-45.35E-15,-47.49E-15
182.1E3,-35.90E-15,-37.60E-15,-45.60E-15,-47.75E-15
