1 X,1 Y,2 X,2 Y
5.624322050044798e-11,-0.01369393421592252,5.624322050044798e-11,0.999078017879512
5.676023925463219e-11,0.01580941997051149,5.676023925463219e-11,1.005291167783291
5.73053737880165e-11,0.07988011917112493,5.73053737880165e-11,1.015849758009512
5.801336943734189e-11,0.2118682371406912,5.801336943734189e-11,1.030184056906432
5.852153844135928e-11,0.3309314717478763,5.852153844135928e-11,1.029203671868543
5.904136503361761e-11,0.4567237053020283,5.904136503361761e-11,0.999755362658872
5.92192224484703e-11,0.5002667919034628,5.92192224484703e-11,0.98109467275849
5.957493727817568e-11,0.5825158132627715,5.957493727817568e-11,0.927663998403559
6.002046803944576e-11,0.671322781457372,6.002046803944576e-11,0.8370513573717294
6.052860202870696e-11,0.7509225905266932,6.052860202870696e-11,0.7152443154079793
6.101472299510809e-11,0.8085018629837862,6.101472299510809e-11,0.5894375973236751
6.158849881566466e-11,0.8574119765083356,6.158849881566466e-11,0.4346553507760814
6.208914267165747e-11,0.8881400607551511,6.208914267165747e-11,0.3085221716103345
6.26129732297062e-11,0.9138831522690701,6.26129732297062e-11,0.2050081527700711
6.309029384372087e-11,0.9334110496095729,6.309029384372087e-11,0.1398707049424112
6.359404265313861e-11,0.9502694487167809,6.359404265313861e-11,0.09553889112821656
6.411600509971056e-11,0.9637837883929664,6.411600509971056e-11,0.06682760079605275
6.467428816806705e-11,0.9742829266202159,6.467428816806705e-11,0.04647475697872103
6.521276400583856e-11,0.9814987769315403,6.521276400583856e-11,0.0330517362772796
6.573836191825379e-11,0.9865497423210859,6.573836191825379e-11,0.02371501836390908
6.640623316762958e-11,0.9910497623544139,6.640623316762958e-11,0.01566399377404441
6.693207742549215e-11,0.9935327316011178,6.693207742549215e-11,0.01172441720239925
6.743165363591267e-11,0.9952675125264067,6.743165363591267e-11,0.009224059218547688
