freq,imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.2 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.4 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.6 ))*1m),imag(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))/(2*3.14*xval(leafValue( i("PORT1:p" ?result "sweepVG_ac1-sweep" ?resultsDir "./cgs_nmos_vdd.raw") "VG_VAL" 0.8 ))*1m)
115.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
116.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
117.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
118.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
119.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
120.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
121.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
122.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
123.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
124.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
125.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
126.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
127.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
128.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
129.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
130.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
131.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
132.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
133.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
134.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
135.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
136.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
137.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
138.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
139.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
140.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
141.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
142.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
143.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
144.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
145.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
146.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
147.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
148.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
149.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
150.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
151.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
152.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
153.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
154.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
155.1E3,-27.63E-18,-33.42E-18,-35.75E-18,-38.79E-18
